series,song,artist,trackId,itunesTitle
"Koi wa Ameagari no You ni","Ref:rain","Aimer","1538261262","Ref:rain"
"Koutetsujou no Kabaneri","ninelie","Aimer","1537269176","Ninelie (with chelly)"
"Koutetsujou no Kabaneri","Through My Blood <AM>","Aimer","",""
"Koutetsujou no Kabaneri Movie 1: Tsudou Hikari","ninelie <cry-v>","Aimer","",""
"Koutetsujou no Kabaneri Movie 2: Moeru Inochi","ninelie <cry-v>","Aimer","",""
"Mobile Suit Gundam Unicorn","RE:I AM","Aimer","1538127486","Re: I Am"
"Mobile Suit Gundam Unicorn","StarRingChild","Aimer","1538259695","StarRingChild"
"Mobile Suit Gundam Unicorn RE:0096","RE:I AM","Aimer","1538127486","Re: I Am"
"Mobile Suit Gundam Unicorn RE:0096","bL∞dy f8 -eUC-","Aimer","",""
"Mobile Suit Gundam Unicorn RE:0096","StarRingChild","Aimer","1538259695","StarRingChild"
"Natsume Yuujinchou Go","Akane Sasu","Aimer","1538258967","Akane Sasu"
"Natsuyuki Rendezvous","Anata ni Deawanakereba ~Kasetsu Touka~","Aimer","1536143517","Anatani Deawanakereba Kasetsutouka"
"No.6","Rokutousei no Yoru","Aimer","1536116985","Rokutouseino Yoru"
"Vinland Saga","Torches","Aimer","1538261364","Torches"
"Zankyou no Terror","Dare ka, Umi wo.","Aimer","",""
"Fate/stay night Movie: Heaven's Feel - III. Spring Song","Haru wa Yuku","Aimer","",""
"Kimetsu no Yaiba: Yuukaku-hen","Zankyou Zanka","Aimer","",""
"Kimetsu no Yaiba: Yuukaku-hen","Asa ga Kuru","Aimer","1594814709","Asa ga kuru"
"Chainsaw Man","Deep down","Aimer","1652643092","Deep down"
"NieR:Automata Ver1.1a","escalate","Aimer","1658686229","escalate"
"Ousama Ranking: Yuuki no Takarabako","Ate mo Naku","Aimer","1694667509","atemonaku"
"Ookami to Koushinryou: Merchant Meets the Wise Wolf","Sign","Aimer","1753029825","Sign"
"Ameku Takao no Suiri Karte","SCOPE","Aimer","1783371101","SCOPE"
"Kimetsu no Yaiba Movie: Mugen Jou-hen Part 1 - Akaza Sairai","Taiyou ga Noboranai Sekai","Aimer","",""
"Unanswered//butterfly: Sword Art Online","Live to Survive","Aimer","",""
"3-gatsu no Lion","orion","Kenshi Yonezu","1538275662","Orion"
"Boku no Hero Academia 2nd Season","Peace Sign","Kenshi Yonezu","1537458310","Peace Sign"
"Kaijuu no Kodomo","Umi no Yuurei","Kenshi Yonezu","",""
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?","Uchiage Hanabi","Kenshi Yonezu","1538275670","Uchiagehanabi"
"Chainsaw Man","KICK BACK","Kenshi Yonezu","1648272180","KICK BACK"
"Medalist","BOW AND ARROW","Kenshi Yonezu","1790607807","BOW AND ARROW"
"Kidou Senshi Gundam: GQuuuuuuX","Plazma","Kenshi Yonezu","1789465887","Plazma"
"Chainsaw Man: Reze-hen","IRIS OUT","Kenshi Yonezu","1837658529","IRIS OUT"
"Chainsaw Man: Reze-hen","JANE DOE","Kenshi Yonezu","1840081736","JANE DOE"
"Kimi no Na wa.","Yume Tourou","RADWIMPS","",""
"Kimi no Na wa.","Nandemonaiya","RADWIMPS","1434005934","Nandemonaiya - Movie Ver."
"Tenki no Ko","Daijoubu (Movie edit)","RADWIMPS","",""
"Tenki no Ko","Ai ni Dekiru Koto wa Mada Aru Kai","RADWIMPS","",""
"Suzume no Tojimari","Kanata Haluka","RADWIMPS","1651284057","Kanata Haluka"
"Suzume no Tojimari","Suzume feat. Toaka","RADWIMPS","1651284059","Suzume (feat. Toaka)"
"Nakitai Watashi wa Neko wo Kaburu","Hana ni Bourei","Yorushika","",""
"Nakitai Watashi wa Neko wo Kaburu","Usotsuki","Yorushika","",""
"Ooyukiumi no Kaina","Telepath","Yorushika","1660547756","Telepath"
"Boku no Kokoro no Yabai Yatsu","Shayou","Yorushika","",""
"Sousou no Frieren","Haru","Yorushika","",""
"Ooyukiumi no Kaina: Hoshi no Kenja","Gekkouyoku","Yorushika","",""
"Chi.: Chikyuu no Undou ni Tsuite","Aporia","Yorushika","1770905295","Aporia"
"Chi.: Chikyuu no Undou ni Tsuite","Hebi","Yorushika","",""
"Shoushimin Series 2nd Season","Kaseijin","Yorushika","",""
"LIAR GAME","Abuku","Yorushika","",""
"Boku no Kokoro no Yabai Yatsu Movie","Akane","Yorushika","",""
"Dororo","Yamiyo","Eve","1467728599","Yamiyo"
"Jujutsu Kaisen","Kaikai Kitan","Eve","1542180247","Kaikai Kitan"
"Josee to Tora to Sakana-tachi","Ao no Waltz","Eve","1543126844","Ao No Waltz"
"Boku no Hero Academia 6th Season","Bokura no","Eve","1659504435","Bokurano"
"Chainsaw Man","Fight Song","Eve","1656433548","FightSong"
"Shoushimin Series","Sweet Memory","Eve","1752615606","Sweet Memory"
"Ao no Hako","Teenage Blue","Eve","1769803970","Teenage Blue"
"Tongari Boushi no Atelier","Kaze no Anthem","Eve","",""
"Spy x Family Season 2","Kura Kura","Ado","1708177336","Kura Kura"
"Beyblade X","Stay Gold","Ado","",""
"Cat's♥Eye (2025)","CAT'S EYE","Ado","1837058092","CAT'S EYE"
"Cat's♥Eye (2025)","MAGIC","Ado","1845132018","MAGIC"
"Hinomaru Zumou","FIRE GROUND","Official HIGE DANdism","1437217547","Fire Ground"
"Tokyo Revengers","Cry Baby","Official HIGE DANdism","1563683060","Cry Baby"
"Spy x Family","Mixed Nuts","Official HIGE DANdism","1616586639","Mixed Nuts"
"Tokyo Revengers: Seiya Kessen-hen","White Noise","Official HIGE DANdism","1660219924","White Noise"
"Tokyo Revengers: Tenjiku-hen","White Noise","Official HIGE DANdism","1660219924","White Noise"
"Spy x Family Movie: Code: White","SOULSOUP","Official HIGE DANdism","1717747959","SOULSOUP"
"Ao no Hako","Same Blue","Official HIGE DANdism","1768218701","Same Blue"
"Hyakuemu.","Rashisa","Official HIGE DANdism","1826940240","Rashisa"
"Darwin Jihen","Make Me Wonder","Official HIGE DANdism","1860741263","Make Me Wonder"
"Banana Fish","Prayer X","King Gnu","1537923439","Prayer X"
"Ousama Ranking","BOY","King Gnu","1588362375","BOY"
"Jujutsu Kaisen 0","Sakayume","King Gnu","1600395740","Sakayume"
"Jujutsu Kaisen 0","Ichizu","King Gnu","1597279110","Ichizu"
"Jujutsu Kaisen 2nd Season","SPECIALZ","King Gnu","1702823583","SPECIALZ"
"Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen","AIZO","King Gnu","1860538548","AIZO"
"Koukaku Kidoutai: THE GHOST IN THE SHELL","GO GHOST","King Gnu","6794271993","GO GHOST"
"Ousama Ranking","Hadaka no Yuusha","Vaundy","",""
"Chainsaw Man","CHAINSAW BLOOD","Vaundy","1647132944","CHAINSAW BLOOD"
"Spy x Family Season 2","Todome no Ichigeki","Vaundy","1708391001","Todome no ichigeki (feat. Cory Wong)"
"Sakamoto Days","Hashire Sakamoto","Vaundy","",""
"Sakamoto Days","Somebody help us","Vaundy","1793301774","Somebody help us"
"Hikaru ga Shinda Natsu","Saikai","Vaundy","1823815962","saikai"
"Yomi no Tsugai","Tobu Toki","Vaundy","",""
"Happy Sugar Life","SWEET HURT","ReoNa","1532051230","SWEET HURT - plus unknown"
"Happy Sugar Life","Canary","ReoNa","",""
"Nanatsu no Taizai: Funnu no Shinpan","time","ReoNa","",""
"Sword Art Online: Alicization","forget-me-not","ReoNa","1538286825","forget-me-not"
"Sword Art Online: Alicization","Niji no Kanata ni","ReoNa","1543390524","Niji No Kanatani - From THE FIRST TAKE"
"Sword Art Online: Alicization - War of Underworld 2nd Season","ANIMA","ReoNa","1532050865","ANIMA"
"Shadows House","Nai Nai","ReoNa","1562121001","Nainai"
"Shadows House 2nd Season","Shall We Dance?","ReoNa","1631500777","Shall we Dance"
"Arknights: Reimei Zensou","Alive","ReoNa","1650726665","Alive"
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su","Gajumaru ~Heaven in the Rain~","ReoNa","1721508564","Gajumaru Heaven in the Rain"
"Arknights: Touin Kiro","R.I.P.","ReoNa","1708218114","R.I.P."
"Sword Art Online Alternative: Gun Gale Online II","GG","ReoNa","1770236402","GG"
"Sword Art Online Alternative: Gun Gale Online II","Toxic","ReoNa","",""
"Sword Art Online Alternative: Gun Gale Online II","Oh UnHappy Day","ReoNa","",""
"Arknights: Enshin Shomei","End of Days","ReoNa","1822979994","End of Days"
"Tsuihou Sareta Tensei Juukishi wa Game Chishiki de Musou Suru","Lv.1 Shokugyou:Ningen","ReoNa","",""
"Kimi ga Shinu made Koi wo Shitai","Amore","ReoNa","6781591910","Amore"
"Heion Sedai no Idaten-tachi","Seija no Koushin","Tatsuya Kitani","",""
"BLEACH: Sennen Kessen-hen","Scar","Tatsuya Kitani","1648249282","Scar"
"BLEACH: Sennen Kessen-hen","Rapport","Tatsuya Kitani","1594292560","Rapport"
"Jujutsu Kaisen 2nd Season","Ao no Sumika","Tatsuya Kitani","",""
"Sentai Daishikkaku","Jikai Yokoku","Tatsuya Kitani","",""
"Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran","Iranai mono","Tatsuya Kitani","",""
"Sentai Daishikkaku 2nd Season","Jikai Yokoku","Tatsuya Kitani","",""
"Kaoru Hana wa Rin to Saku","Manazashi wa Hikari","Tatsuya Kitani","",""
"Jigokuraku 2nd Season","Kasukana Hana","Tatsuya Kitani","1866806793","Kasuka na Hana (OP Theme to Hell's Paradise: Jigokuraku Season 2) [feat. BABYMETAL]"
"NEEDY GIRL OVERDOSE","Levitation","Tatsuya Kitani","1890061280","LEVITATION"
"Nippon Sangoku","Hidane","Tatsuya Kitani","1886375862","HIDANE"
"Kore Kaite Shine","Isho","Tatsuya Kitani","",""
"Yofukashi no Uta","Daten","Creepy Nuts","1631125195","Daten"
"Yofukashi no Uta","Yofukashi no Uta","Creepy Nuts","1538108923","Yofukashino Uta"
"Mashle 2nd Season","Bling-Bang-Bang-Born","Creepy Nuts","1720332181","Bling-Bang-Bang-Born"
"Dandadan","Otonoke","Creepy Nuts","1771603031","Otonoke"
"Yofukashi no Uta Season 2","Mirage","Creepy Nuts","1824084891","Mirage"
"Yofukashi no Uta Season 2","Nemure","Creepy Nuts","1824077739","Nemure"
"BLEACH","Last Moment","SPYAIR","1535518053","Last Moment"
"Gintama'","Samurai Heart (Some Like It Hot!!)","SPYAIR","1689537512","Samurai Heart(Some Like It Hot!!) - New Version -"
"Gintama': Enchousen","Sakura Mitsutsuki","SPYAIR","1539150967","Sakura Mitsutsuki"
"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","Genjou Destruction","SPYAIR","1769377262","Genjou Destruction - From THE FIRST TAKE"
"Gintama.: Shirogane no Tamashii-hen 2","I Wanna Be...","SPYAIR","1544380977","I Wanna Be..."
"Haikyuu!!","Imagination","SPYAIR","859822147","Imagination"
"Haikyuu!! Second Season","I'm A Believer","SPYAIR","1535541218","I'm a Believer"
"Haikyuu!!: To the Top 2nd Season","One Day","SPYAIR","1531754388","One Day"
"Haikyuu!!: To the Top 2nd Season","Imagination","SPYAIR","859822147","Imagination"
"Mobile Suit Gundam Age","My World","SPYAIR","1535524200","My World"
"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season","RAGE OF DUST","SPYAIR","1535622395","Rage of Dust"
"Samurai Flamenco","JUST ONE LIFE","SPYAIR","1577381821","Just One Life"
"Ao no Miburo","Ao","SPYAIR","1771805945","AO"
"Haikyuu!! Movie: Gomisuteba no Kessen","Orange","SPYAIR","1728595882","Orange"
"Yuusha Kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku","Kill the Noise","SPYAIR","1863580182","Kill the Noise"
"Tsuihou Sareta Tensei Juukishi wa Game Chishiki de Musou Suru","Awake","SPYAIR","6793804556","Awake (Anime Size)"
"Ao no Exorcist","CORE PRIDE","UVERworld","1537434797","Core Pride"
"Ao no Exorcist: Kyoto Fujouou-hen","Itteki no Eikyou","UVERworld","",""
"Arslan Senki (TV)","Boku no Kotoba de wa nai, Kore wa Bokutachi no Kotoba","UVERworld","995941685","Bokuno Kotoba Dewa Nai Korewa Bokutachino Kotoba"
"BLEACH","D-tecnolife","UVERworld","1537412888","D-tecnoLife"
"Blood+","Colors of the Heart","UVERworld","1537767489","Colors of the Heart"
"Boku no Hero Academia 3rd Season","ODD FUTURE","UVERworld","1410776543","Odd Future"
"D.Gray-man","Gekidou","UVERworld","1537767488","Gekidou"
"Mobile Suit Gundam 00 Second Season","Hakanaku mo Towa no Kanashi","UVERworld","1537412725","Hakanakumo Towa No Kanashi"
"Nanatsu no Taizai: Funnu no Shinpan","NAMELY","UVERworld","1568292079","NAMELY"
"Nanatsu no Taizai: Kamigami no Gekirin","ROB THE FRONTIER","UVERworld","1537779521","Rob the Frontier"
"Puzzle & Dragons Cross","WE ARE GO","UVERworld","1145425462","We Are Go"
"Terra e... (TV)","endscape","UVERworld","",""
"Yakusoku no Neverland","Touch Off","UVERworld","1538276685","Touch off"
"Ao no Exorcist: Shimane Illuminati-hen","Eye's Sentry","UVERworld","1731959374","Eye's Sentry"
"Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season","MMH","UVERworld","1781634087","MMH"
"Beyblade X","Prove","ONE OK ROCK","1631270125","Prove"
"Back Arrow","United Sparrows","FLOW","1565506142","United Sparrows"
"Beelzebub","Hey!!!","FLOW","1539157457","Hey!!! (Beelzebub Opening Mix)"
"Code Geass: Hangyaku no Lelouch","COLORS","FLOW","1536479348","Colors"
"Code Geass: Hangyaku no Lelouch I - Koudou","COLORS","FLOW","1536479348","Colors"
"Code Geass: Hangyaku no Lelouch III - Oudou","WORLD END","FLOW","1536479350","World End"
"Code Geass: Hangyaku no Lelouch R2","WORLD END","FLOW","1536479350","World End"
"Durarara!!x2 Ketsu","Steppin' out","FLOW","1538160488","Steppin' Out"
"Eureka Seven","DAYS","FLOW","1536479135","Days"
"Eureka Seven AO","BRAVEBLUE","FLOW","",""
"Heroman","CALLING","FLOW","1536479354","Calling"
"Nanatsu no Taizai","7 -seven-","FLOW","",""
"Nanatsu no Taizai: Imashime no Fukkatsu","Howling","FLOW","1335643588","Howling"
"Naruto","GO!!!","FLOW","1536479134","Go!!!"
"Naruto","Re:member","FLOW","1536479347","Re:member"
"Naruto: Shippuuden","Sign","FLOW","1536479352","Sign"
"Naruto: Shippuuden","Niji no Sora","FLOW","1536460672","Nijinosora"
"Persona: Trinity Soul","WORD OF THE VOICE","FLOW","1536479349","Word of the Voice"
"Samurai Flamenco","Ai Ai AI ni Utarete Bye Bye Bye","FLOW","",""
"Shadowverse","Shinsekai","FLOW","6787862701","SHINSEKAI"
"Tales of Zestiria the X","Kaze no Uta","FLOW","1538165283","Kazenouta"
"Tales of Zestiria the X","BURN","FLOW","1538165284","Burn"
"Tales of Zestiria the X 2nd Season","INNOSENSE","FLOW","1198104298","Innosense"
"Kikansha no Mahou wa Tokubetsu desu","GET BACK","FLOW","1714576903","GET BACK (English version)"
"Kinnikuman: Kanpeki Chоujin Shiso-hen","LOVE & JUSTICE","FLOW","",""
"Katainaka no Ossan, Kensei ni Naru","Alright!!!","FLOW","1803063183","Alright!!!"
"Rakudai Kenja no Gakuin Musou: Nidome no Tensei, S-Rank Cheat Majutsushi Boukenroku","+ENCOUNT","FLOW","",""
"BLEACH","After Dark","Asian Kung-Fu Generation","1536394894","After Dark"
"Boku dake ga Inai Machi","Re:Re:","Asian Kung-Fu Generation","1536364102","Re:Re:"
"Boruto: Naruto Next Generations","Shukuen","Asian Kung-Fu Generation","",""
"Dororo","Dororo","Asian Kung-Fu Generation","1538161054","Dororo"
"Fullmetal Alchemist","Rewrite","Asian Kung-Fu Generation","1536394888","Rewrite"
"Naruto","Haruka Kanata","Asian Kung-Fu Generation","1536394884","Haruka Kanata"
"Naruto: Shippuuden","Blood Circulator","Asian Kung-Fu Generation","1536461315","Blood Circulator"
"Yojouhan Shinwa Taikei","Maigo Inu to Ame no Beat","Asian Kung-Fu Generation","",""
"Yoru wa Mijikashi Arukeyo Otome","Kouya wo Aruke","Asian Kung-Fu Generation","",""
"Naruto: Shippuuden Movie 6 - Road to Ninja","Sore de wa, Mata Ashita","Asian Kung-Fu Generation","",""
"Boku no Hero Academia the Movie 3: World Heroes' Mission","Empathy","Asian Kung-Fu Generation","1577315463","Empathy"
"Farmagia","Life is Beautiful","Asian Kung-Fu Generation","",""
"Dr. STONE: SCIENCE FUTURE Part 3","Skins","Asian Kung-Fu Generation","1887483433","Skins"
"Boku no Hero Academia 4th Season","Star Marker","KANA-BOON","1536466358","Starmarker"
"Boruto: Naruto Next Generations","Baton Road","KANA-BOON","1536496604","Baton road"
"Boruto: Naruto Next Generations","Kirarirari","KANA-BOON","1650726824","Kirarirari"
"Boruto: Naruto the Movie","Diver","KANA-BOON","1536458265","Diver"
"Enen no Shouboutai: Ni no Shou","Torch of Liberty","KANA-BOON","1539133583","Torch of Liberty"
"Karakuri Circus","Haguruma","KANA-BOON","1538160778","Haguruma"
"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season","Fighter","KANA-BOON","1538166939","Fighter"
"Naruto: Shippuuden","Silhouette","KANA-BOON","1538157315","Silhouette"
"Sarazanmai","Massara","KANA-BOON","",""
"Subete ga F ni Naru: The Perfect Insider","talking","KANA-BOON","1536491788","Talking"
"Yamada-kun to Lv999 no Koi wo Suru","Gradation feat. Yuuho Kitazawa","KANA-BOON","1678037141","Gradation (feat. Yuho Kitazawa)"
"Zom 100: Zombie ni Naru made ni Shitai 100 no Koto","Song of the Dead","KANA-BOON","1694665954","Song of the Dead"
"Dr. Stone: Science Future Part 2","SUPERNOVA","KANA-BOON","1821760203","SUPERNOVA"
"SK∞","Infinity","Yuuri","1545892487","Infinity"
"Boku no Hero Academia 7th Season","Curtain Call","Yuuri","1754899924","Curtain Call"
"Thunder 3","Thunderbolt","Yuuri","6803399629","Thunderbolt"
"Birthday Wonderland","THE SHOW","milet","1544028414","THE SHOW"
"Fate/Grand Order: Zettai Majuu Sensen Babylonia","Prover","milet","1544028154","Prover"
"Fate/Grand Order: Zettai Majuu Sensen Babylonia","Tell me","milet","1544028155","Tell me"
"Vinland Saga","Drown","milet","1538265329","Drown"
"Ousama Ranking","Flare","milet","1601419197","Flare"
"Shika no Ou: Yuna to Yakusoku no Tabi","One Reason","milet","1596199479","One Reason"
"Kimetsu no Yaiba: Katanakaji no Sato-hen","Kizuna no Kiseki","milet","",""
"Kimetsu no Yaiba: Katanakaji no Sato-hen","Koi Kogare","milet","1678949894","Koi Kogare"
"Sousou no Frieren","Anytime Anywhere","milet","1708333825","Anytime Anywhere"
"Sousou no Frieren","bliss","milet","1726309586","bliss"
"Sousou no Frieren 2nd Season","The Story of Us","milet","1863631485","The Story of Us"
"Sousou no Frieren 2nd Season","Trace","milet","1878095294","Trace"
"Futsutsuka na Akujo de wa Gozaimasu ga: Suuguu Chouso Torikae Den","Sunny","milet","6784164027","Sunny"
"Evangelion: 1.0 You Are (Not) Alone","Beautiful World","Hikaru Utada","1440747562","Beautiful World"
"Evangelion: 2.0 You Can (Not) Advance","Beautiful World -PLANiTb Acoustica Mix-","Hikaru Utada","",""
"Evangelion: 3.0 You Can (Not) Redo","Sakura Nagashi","Hikaru Utada","1445016168","Sakura Nagashi"
"Freedom","This Is Love","Hikaru Utada","1444982635","This Is Love (Remastered 2018)"
"Penguin Highway","Good Night","Hikaru Utada","1538152435","Good Night"
"Fumetsu no Anata e","PINK BLOOD","Hikaru Utada","1566508411","PINK BLOOD"
"Fumetsu no Anata e 2nd Season","PINK BLOOD","Hikaru Utada","1566508411","PINK BLOOD"
"Chainsaw Man: Reze-hen","JANE DOE","Hikaru Utada","",""
"Shin Evangelion Movie:||","One Last Kiss","Hikaru Utada","1542953977","One Last Kiss"
"Shin Evangelion Movie:||","Beautiful World (Da Capo Version)","Hikaru Utada","1440747562","Beautiful World"
"Enen no Shouboutai","Inferno","Mrs. GREEN APPLE","1471459432","Inferno"
"Nana Maru San Batsu","On My MiND","Mrs. GREEN APPLE","1440885554","On My MiND"
"Yu☆Gi☆Oh! ARC-V","Speaking","Mrs. GREEN APPLE","1440787926","Speaking"
"Boukyaku Battery (TV)","Lilac","Mrs. GREEN APPLE","1739088799","Lilac"
"Kusuriya no Hitorigoto 2nd Season","Kusushiki","Mrs. GREEN APPLE","1804230388","KUSUSHIKI"
"Sousou no Frieren 2nd Season","lulu.","Mrs. GREEN APPLE","1867354081","lulu."
"Chi.: Chikyuu no Undou ni Tsuite","Kaijuu","Sakanaction","",""
"Aoki Hagane no Arpeggio: Ars Nova","Savior of Song","MY FIRST STORY","",""
"Golden Kamuy 2nd Season","Reimei","MY FIRST STORY","",""
"Hortensia Saga (TV)","LEADER","MY FIRST STORY","1546340662","LEADER"
"Kengan Ashura","KING & ASHLEY","MY FIRST STORY","1470204067","King & Ashley"
"Nobunaga Concerto","Fukagyaku Replace","MY FIRST STORY","1481537593","Fukagyaku Replace"
"Kimetsu no Yaiba: Hashira Geiko-hen","Mugen","MY FIRST STORY","1742203699","MUGEN"
"Kimetsu no Yaiba: Hashira Geiko-hen","Tokoshie","MY FIRST STORY","",""
"Golden Kamuy","Winding Road","MAN WITH A MISSION","1537756981","Winding Road"
"Inuyashiki","My Hero","MAN WITH A MISSION","1296745365","My Hero"
"Log Horizon","database feat. TAKUMA (10 Feet)","MAN WITH A MISSION","1537461567","Database (feat. TAKUMA)"
"Log Horizon 2nd Season","database feat. TAKUMA (10 Feet)","MAN WITH A MISSION","1537461567","Database (feat. TAKUMA)"
"Mobile Suit Gundam: Iron-Blooded Orphans","Raise your flag","MAN WITH A MISSION","1538279150","Raise your flag"
"Nanatsu no Taizai","Seven Deadly Sins","MAN WITH A MISSION","1538279154","Seven Deadly Sins"
"Vinland Saga","Dark Crow","MAN WITH A MISSION","1538283596","Dark Crow"
"Boku no Hero Academia 5th Season","Merry-Go-Round","MAN WITH A MISSION","1573696011","Merry-Go-Round"
"Kimetsu no Yaiba: Katanakaji no Sato-hen","Kizuna no Kiseki","MAN WITH A MISSION","1678949889","Kizuna No Kiseki"
"Kimetsu no Yaiba: Katanakaji no Sato-hen","Koi Kogare","MAN WITH A MISSION","",""
