Artist(s) Name,Track Name
Phai Phongsathon , คำสัญญาของหนุ่มบ้านนอก
Phai Phongsathon , ซ้อนมอเตอร์ไซค์ไปก่อน
Phai Phongsathon , แสงเดือนถามข่าวแสงดาวนำทาง
Phai Phongsathon , มีเธอจึงมีฝัน
Phai Phongsathon , โยนใจถามทาง
Phai Phongsathon , เป็นเพื่อนไม่ได้ หัวใจอยากเป็นแฟน
Phai Phongsathon; แพรวา พัชรี , คนไกลเบอร์เก่า
Phai Phongsathon , ไม่มีข้อแม้ตั้งแต่เริ่มต้น
Phai Phongsathon , ฝืนใจหน่อยได้ไหม
Phai Phongsathon , รักแท้บ่ได้แปลว่าโง่
Phai Phongsathon , อย่าให้เขาฮู้เด้อ
Phai Phongsathon , หมอนขาด สาดผืนเก่า
เสถียร ทำมือ , ทุกที่ก็ทุกที
P Saderd , ศักดิ์ศรีลูกอีสาน
P Saderd , รักจนไม่รู้จะรักยังไง
P Saderd , คิดถึง... คิดถึง
P Saderd , ความต้องการทางแพทย์สูง
Cham Chamrum , หัวใจมักง่าย
Cham Chamrum , ไปอยู่ที่ไหนมา
Cham Chamrum , กรุณาอย่าทำให้เธอเสียใจ
Cham Chamrum , มอไซค์บักกู๊ด
Mhai Muang , ความคิดถึงในแจกันใจ
ทรงกรด ฌา-มา อาร์ สยาม; Various Artists , นางฟ้า
อะรีด อาร์ สยาม; รวมศิลปิน (อาร์ สยาม จัมโบ้ฮิต 2010) , เจ็บ...แค่ตอนหายใจ
ไชยา มิตรชัย , กระทงหลงทาง
กุ้ง สุธิราช อาร์ สยาม , ทาสมนต์คนดี
กุ้ง สุธิราช อาร์ สยาม , หนึ่งในดวงใจ
กุ้ง สุธิราช อาร์ สยาม , คนดีของเธอ
กุ้ง สุธิราช อาร์ สยาม , สวรรค์เป็นใจ
กุ้ง สิทธิราช , ขอเป็นพระเอกในหัวใจเธอ
วิรดา วงศ์เทวัญ อาร์ สยาม; รวมศิลปินลูกทุ่งอันปลั๊ก , รักเธอทุก พศ
หนู มิเตอร์ อาร์ สยาม , หนอนผีเสื้อ
เดวิด อินธี , ฝากแฟนผมด้วย
Maithai Jaitawan , รักพอกะเทิน
โกไข่ , ความคิดถึงกำลังเดินทาง
หญิง ธิติกานต์ อาร์ สยาม , จันทร์
โกไข่กับนายสน , ตะกอนความคิดถึง
Tai Tanawut , ข้ามันลูกทุ่ง
Earn Suruttikarn , รอทำอย่างนั้นกับเธอ
ฐา ขนิษ , You let me down (คึดนำ) - Feat.ท้าวคำสิงห์
Ble Patumrach R Siam , กอดครั้งสุดท้าย Feat. ธัญญ่า อาร์ สยาม
โกไข่กับนายสน , คืนนี้เหงาเท่ากันไหม
Jakkajan Wanvisa , ปรับทุกข์กับเงา
Jakkajan Wanvisa , กลับมาแน่ไหม
ทราย อาร์ สยาม , คนมีคู่ไม่รู้หรอก
ทราย อาร์ สยาม; รวมศิลปิน (อาร์ สยาม จัมโบ้ฮิต 2008) , สักคนบนฟ้า
กระแต อาร์ สยาม , เบอร์คนอกหัก
กระแต อาร์ สยาม , อารมณ์หญิง
ลูกตาล อาร์ สยาม , พิเศษใส่ใจ
ใบเตย อาร์สยาม , ยังมีอยู่ไหมผู้ชายแบบนั้น
ใบเตย อาร์สยาม; รวมศิลปิน (อาร์ สยาม จัมโบ้ฮิต 2011) , ได้เพียงสิทธิ์คบ ไม่มีสิทธิ์คิด
ใบเตย อาร์สยาม; รวมศิลปิน (อาร์ สยาม จัมโบ้ฮิต 2010) , ปากไม่...ใจคิดถึง
บลูเบอร์รี่ อาร์ สยาม , มีเวลาโทรมาด้วยเหรอ
บลูเบอร์รี่ อาร์ สยาม , คบไว้แก้เหงา
บิว กัลยาณี อาร์ สยาม , อิจฉา
บิว กัลยาณี อาร์ สยาม , ง่ายเกินไป
บ่าววี อาร์ สยาม , ขอนไม้กับเรือ
เวสป้า อาร์ สยาม; รวมศิลปิน (อาร์ สยาม จัมโบ้ฮิต 2011) , เป็นชู้ไม่รู้ตัว
เวสป้า อาร์ สยาม , ติดฝนความคิดถึง
เอ็กซ์ อาร์ สยาม; รวมศิลปิน (อาร์ สยาม จัมโบ้ฮิต 2010) , เพราะว่าคิดถึง
แคท รัตกาล อาร์ สยาม , ก้อนหินสิ้นใจ
Earn Suruttikarn , ลืมหน่อยก็ไม่ได้
Earn Suruttikarn , ไม่ใช่ที่ชาร์จแบต
Earn Suruttikarn , คิดถึงเธออยากเจอเหลือเกิน
Earn Suruttikarn , รอวันเธอเหงา
Earn Suruttikarn , คนที่เธอคิดถึง
Earn Suruttikarn , อย่าทำอย่างนี้กับคนที่เธอไม่รัก
หลวงไก่ อาร์ สยาม , แค่โทรมาบอกว่าคิดถึง
หลวงไก่ อาร์ สยาม , ขอบคุณที่ยังรักกัน
หลวงไก่ อาร์ สยาม , คนมีประวัติ
หลวงไก่ อาร์ สยาม , 18 ฝน
หลวงไก่ อาร์ สยาม , ฝากเพลงหอมแก้ม
หลวงไก่ อาร์ สยาม , เลิกราไม่เลิกรัก
Tai Tanawut , ฟ้าส่งมาฆ่า
Takkatan Chollada , ฉันไม่ใช่ หรือเธอไม่พอ
วิด ไฮเปอร์ อาร์สยาม; รวมศิลปิน (อาร์ สยาม จัมโบ้ฮิต 2009) , มักง่าย หลายใจ หลอกลวง
นกน้อย อุไรพร , แม่ฮ่างน้อย
25 hours , ใบไม้
Boy Peacemaker , ความอ่อนแอ
